,Unnamed: 0,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
68,16816,40-49,4,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,low
69,8694,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,high
70,12288,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
71,8151,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
72,5088,50-59,5,Married,20-39,2,"Started College, No Diploma",6,self employed,Sales,White alone,Male,low
73,20430,30-39,3,Separated,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,low
74,21407,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,low
75,4507,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
76,11357,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Entertainment,White alone,Female,low
77,19874,40-49,4,Separated,40-49,3,Bachelor Degree,8,governmental,Office/Administrative Support,Black or African American alone,Female,low
78,4244,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
79,11791,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
80,9517,60-69,6,Married,40-49,3,Associate Degree,7,governmental,Healthcare/Medical Services,White alone,Male,high
81,21117,50-59,5,Married,More than 50,4,Associate Degree,7,governmental,Office/Administrative Support,White alone,Female,low
82,8770,60-69,6,Married,40-49,3,Middle School,3,private,Production/Assembly,Black or African American alone,Male,low
83,3976,25-29,2,Married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Female,low
84,2186,40-49,4,Married,40-49,3,Associate Degree,7,private,Service/Hospitality,White alone,Male,low
85,315,30-39,3,Never married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,White alone,Male,low
86,11645,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
87,3193,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
89,3439,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Office/Administrative Support,Black or African American alone,Female,low
90,14526,40-49,4,Separated,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
91,13005,50-59,5,Widowed,40-49,3,High School or GED Diploma,5,governmental,Management/Business,Black or African American alone,Male,low
92,10718,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,high
93,11153,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
94,11836,Older than 70,7,Married,40-49,3,"Started High School, No Diploma",4,self employed,Transport,White alone,Male,low
95,18293,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,governmental,Healthcare/Medical Services,White alone,Male,high
96,14656,30-39,3,Separated,More than 50,4,Doctorate Degree,10,private,Education,White alone,Female,low
97,5238,60-69,6,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Male,high
98,8586,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Male,low
99,13962,60-69,6,Married,40-49,3,"Started College, No Diploma",6,self employed,Transport,White alone,Male,high
100,5724,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
101,15194,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,"Science, Engineering, Technology",White alone,Male,high
102,4039,30-39,3,Never married,40-49,3,High School or GED Diploma,5,self employed,Transport,White alone,Male,low
103,3760,25-29,2,Separated,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
104,8425,25-29,2,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
105,13825,50-59,5,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
106,8810,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
107,20545,60-69,6,Married,40-49,3,Bachelor Degree,8,self employed,Legal Services,White alone,Male,high
108,9635,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
109,1681,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
110,13643,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Office/Administrative Support,White alone,Female,low
111,18485,30-39,3,Married,40-49,3,Associate Degree,7,private,Production/Assembly,White alone,Female,low
112,7659,50-59,5,Widowed,40-49,3,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Female,low
113,20095,30-39,3,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
114,17286,40-49,4,Separated,20-39,2,Associate Degree,7,private,Protective Services,White alone,Male,low
115,6751,40-49,4,Married,20-39,2,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,low
116,9171,50-59,5,Married,Less than 20,1,Middle School,3,self employed,Service/Hospitality,Black or African American alone,Female,low
117,15082,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Construction/Extraction,White alone,Male,low
118,8910,40-49,4,Married,20-39,2,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,high
119,20090,60-69,6,Married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Male,high
120,7931,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
121,11389,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
122,16399,50-59,5,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Male,high
123,3231,40-49,4,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Production/Assembly,Black or African American alone,Male,low
124,14777,25-29,2,Never married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
125,19752,30-39,3,Married,20-39,2,Associate Degree,7,governmental,Healthcare/Medical Services,Black or African American alone,Female,low
126,6982,25-29,2,Married,Less than 20,1,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
127,19451,50-59,5,Married,Less than 20,1,Master or other Degree Beyond Bachelor,9,self employed,Entertainment,White alone,Female,low
128,16875,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
129,1373,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,low
130,4579,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
131,1544,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
132,2035,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
133,8042,40-49,4,Never married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,low
134,13305,Older than 70,7,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Male,high
135,16547,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
136,13930,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Transport,White alone,Male,high
137,9549,30-39,3,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
138,9806,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
139,21930,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,governmental,Service/Hospitality,White alone,Male,low
140,10727,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
141,16425,Younger than 25,1,Never married,40-49,3,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
142,19645,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Management/Business,White alone,Male,high
144,6566,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
145,2140,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,high
146,3503,60-69,6,Married,More than 50,4,Bachelor Degree,8,private,Sales,Black or African American alone,Male,high
147,16719,30-39,3,Separated,Less than 20,1,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
148,22078,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
149,6209,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
150,3427,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
151,4319,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Finance/Accounting,White alone,Female,low
152,4649,60-69,6,Married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,high
153,14497,60-69,6,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
154,1905,Older than 70,7,Never married,Less than 20,1,High School or GED Diploma,5,private,Transport,White alone,Male,low
156,15331,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Entertainment,White alone,Female,low
157,14346,30-39,3,Married,40-49,3,Associate Degree,7,governmental,Sales,White alone,Male,low
158,8577,Older than 70,7,Married,More than 50,4,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,high
159,17301,50-59,5,Separated,40-49,3,Associate Degree,7,governmental,Office/Administrative Support,Black or African American alone,Female,low
160,12587,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
161,2475,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,high
162,7999,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
163,16536,40-49,4,Married,More than 50,4,No Elementary School,1,private,Production/Assembly,White alone,Male,high
164,1637,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Male,low
165,21909,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Education,White alone,Male,low
166,14836,25-29,2,Married,20-39,2,Associate Degree,7,private,Service/Hospitality,White alone,Female,low
167,20260,Younger than 25,1,Married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
168,2893,60-69,6,Never married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
169,9761,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
170,7816,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
171,15487,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
172,21670,Older than 70,7,Married,20-39,2,Elementary School,2,self employed,Service/Hospitality,White alone,Male,low
173,11432,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,high
174,20064,40-49,4,Married,40-49,3,"Started High School, No Diploma",4,private,Management/Business,White alone,Female,low
175,20605,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Management/Business,White alone,Female,high
176,2563,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Female,low
177,1369,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
178,9767,30-39,3,Married,40-49,3,Doctorate Degree,10,governmental,Protective Services,Black or African American alone,Female,high
179,3456,50-59,5,Married,More than 50,4,"Started High School, No Diploma",4,self employed,Transport,White alone,Male,high
180,11503,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
181,17045,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Female,low
182,1844,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,self employed,Sales,White alone,Male,high
183,11587,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
184,16059,40-49,4,Never married,20-39,2,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
185,3918,50-59,5,Never married,40-49,3,High School or GED Diploma,5,governmental,Construction/Extraction,White alone,Female,low
186,9916,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,Black or African American alone,Male,low
187,13686,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
188,21139,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
189,1517,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,self employed,Healthcare/Medical Services,White alone,Male,high
190,12391,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,self employed,Transport,White alone,Male,low
191,18689,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Office/Administrative Support,White alone,Female,low
193,12081,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
194,17911,60-69,6,Separated,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Male,high
195,4552,60-69,6,Separated,40-49,3,Associate Degree,7,private,Service/Hospitality,Black or African American alone,Female,low
196,15512,40-49,4,Separated,40-49,3,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Female,low
197,14858,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Sales,Black or African American alone,Female,low
198,16175,50-59,5,Married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
199,11278,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
200,20375,50-59,5,Separated,40-49,3,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
201,17270,25-29,2,Never married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Legal Services,White alone,Female,low
203,14710,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
204,19792,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
205,12677,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
206,2161,Younger than 25,1,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
207,2404,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Protective Services,Black or African American alone,Male,low
208,7528,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
209,13312,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Office/Administrative Support,White alone,Male,high
210,17440,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Transport,White alone,Male,low
211,18040,60-69,6,Widowed,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
212,13960,50-59,5,Never married,40-49,3,"Started College, No Diploma",6,governmental,Office/Administrative Support,Black or African American alone,Female,high
214,3071,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
215,15068,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
216,20771,30-39,3,Married,40-49,3,Associate Degree,7,governmental,Construction/Extraction,White alone,Male,high
217,8229,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Female,low
218,12511,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Service/Hospitality,White alone,Male,high
219,5552,30-39,3,Never married,More than 50,4,Associate Degree,7,private,Healthcare/Medical Services,White alone,Male,low
220,2593,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,self employed,Service/Hospitality,White alone,Male,low
221,6021,60-69,6,Married,More than 50,4,Associate Degree,7,private,Education,White alone,Female,low
222,8231,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,high
223,6542,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
224,1793,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
225,8925,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
226,14226,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Service/Hospitality,White alone,Male,low
227,8108,30-39,3,Married,20-39,2,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
228,5557,40-49,4,Married,40-49,3,Middle School,3,self employed,Production/Assembly,White alone,Male,low
229,9872,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
230,8339,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,high
231,16303,40-49,4,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
232,1159,60-69,6,Married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,high
233,10606,40-49,4,Married,40-49,3,Associate Degree,7,private,Production/Assembly,Black or African American alone,Male,low
234,9205,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
236,2174,30-39,3,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
237,10643,Older than 70,7,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
238,2364,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
239,7290,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
240,22097,40-49,4,Separated,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Male,low
241,10372,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
242,11449,40-49,4,Married,40-49,3,High School or GED Diploma,5,self employed,Service/Hospitality,Black or African American alone,Female,low
243,5348,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
244,3533,50-59,5,Married,40-49,3,Associate Degree,7,governmental,Finance/Accounting,White alone,Female,low
245,9345,60-69,6,Married,More than 50,4,"Started High School, No Diploma",4,self employed,Service/Hospitality,White alone,Male,low
246,18911,60-69,6,Married,Less than 20,1,No Elementary School,1,private,Construction/Extraction,White alone,Male,low
247,11470,30-39,3,Never married,40-49,3,High School or GED Diploma,5,private,Transport,White alone,Male,low
248,6481,60-69,6,Never married,20-39,2,High School or GED Diploma,5,self employed,Transport,Black or African American alone,Male,low
249,17134,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,high
250,21270,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
251,13898,60-69,6,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,White alone,Male,high
252,8355,25-29,2,Married,20-39,2,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
253,4446,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
254,18660,60-69,6,Married,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,high
255,16768,50-59,5,Never married,More than 50,4,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Male,high
256,15362,40-49,4,Married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,White alone,Female,high
257,8137,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Finance/Accounting,White alone,Female,low
258,21977,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
259,21304,60-69,6,Married,40-49,3,Doctorate Degree,10,governmental,Education,White alone,Female,high
260,16236,25-29,2,Never married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Female,low
261,5743,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
262,6543,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
263,15999,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,low
264,12439,60-69,6,Married,More than 50,4,High School or GED Diploma,5,private,Sales,White alone,Male,high
265,4713,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
266,5218,25-29,2,Married,More than 50,4,Bachelor Degree,8,private,Service/Hospitality,White alone,Female,low
